Cheat,NTX,NTY,NTZ,LCX,LCY,LCZ,RCX,RCY,RCZ,MEX,MEY,MEZ,Faces,Dir,NotVis,Vis ,VisCount,FirstObj,SecondObj,Tob
1,303.812,365.051,0.756893,322.326,367.474,-25.6159,271.927,381.889,7.70578,292.565,342.679,-16.0685,1,6,58:38.0,58:38.0,2,1,0,0
1,350.698,370.154,-1.35025,339.918,375.109,-13.8135,311.616,377.516,27.0444,332.602,339.514,-30.311,1,6,58:38.0,58:38.0,2,1,0,0
1,321.167,375.724,-10.0492,345.143,385.314,-23.826,295.961,364.042,0.443782,327.332,355.601,-2.75684,1,6,58:38.0,58:38.0,2,1,0,0
1,312.263,395.416,-10.9972,335.484,409.96,-24.041,281.832,374.237,4.55623,324.084,370.957,-6.09478,1,6,58:38.0,58:38.0,2,1,0,0
1,306.49,331.425,-4.77929,292.652,337.687,-11.4557,266.178,346.339,26.7059,281.144,302.114,-27.506,1,6,58:38.0,58:38.0,2,1,1,0
1,313.801,364.983,-9.07056,325.254,366.753,-16.0847,276.635,352.308,14.361,310.126,333.961,-14.6316,1,6,58:38.0,58:38.0,2,1,1,0
1,301.206,357.539,-6.59154,310.005,358.404,-17.2559,255.385,349.922,16.1851,292.544,327.087,-17.6982,1,6,58:38.0,58:38.0,2,1,1,0
1,310.884,353.844,-1.0067,321.161,360.421,-18.8357,264.051,348.31,13.7169,299.849,326.537,-18.4086,1,6,58:38.0,58:38.0,2,1,1,0
1,327.968,336.132,-5.73378,314.081,340.828,-11.5991,282.839,347.768,25.5471,306.246,305.112,-25.8593,1,6,58:38.0,58:38.0,2,1,1,0
1,322.466,328.482,-8.46377,308.435,336.603,-7.67425,283.855,345.274,28.583,296.578,300.659,-27.0053,1,6,58:38.0,58:38.0,2,1,1,0
1,312.078,418.038,-13.377,348.481,413.97,-20.084,276.556,411.34,-0.102664,313.216,379.363,0.78415,1,6,58:38.0,58:38.0,2,1,0,0
1,320.258,400.721,-7.34719,342.035,402.892,-18.3302,285.079,395.858,5.0477,314.163,368.875,-6.42377,1,6,58:38.0,58:38.0,2,1,0,0
1,333.987,383.701,1.73913,346.231,389.531,-17.8499,309.418,394.351,6.52844,324.763,360.402,-11.8964,1,6,58:38.0,58:38.0,2,1,0,0
1,301.316,326.473,-8.90385,342.603,319.403,-26.2379,269.245,339.209,-2.43384,295.019,287.73,0.247515,1,6,58:38.0,58:38.0,2,1,0,0
1,303.302,328.971,-6.23088,345.291,334.937,-33.3808,258.909,343.483,0.177035,297.437,289.034,-4.7917,1,6,09:36.0,09:36.0,8,1,0,0
1,306.659,346.589,-3.96692,344.056,345.664,-25.7301,286.609,354.113,-10.6602,307.364,318.729,6.61903,1,6,28:32.0,28:34.0,20,1,0,0
1,300.542,336.54,-4.91458,345.46,337.983,-28.0972,262.432,352.463,-3.44989,294.301,294.891,-0.657444,1,6,43:43.0,43:41.0,29,1,0,0
1,300.345,277.097,-6.09695,346.573,279.74,-28.8964,263.083,290.193,-5.09647,297.126,233.747,1.4849,1,6,02:32.0,02:30.0,15,1,0,0
1,318.314,11.7561,-12.1053,335.124,5.68765,-22.284,284.749,19.8168,9.967,305.229,-9.55405,-9.7711,1,6,00:00.0,00:00.0,0,1,0,0
1,303.91,339.138,-4.69383,326.063,344.575,-25.7634,283.385,339.717,-2.74797,306.51,307.574,-1.62542,1,6,00:00.0,00:00.0,0,1,0,0
1,311.979,380.898,-9.89971,347.172,383.289,-20.629,274.641,372.207,0.40944,319.345,319.155,-1.33267,1,6,00:00.0,00:00.0,0,1,0,0
0,409.073,305.02,-7.91465,440.695,313.037,-31.9559,365.24,311.337,3.65341,405.689,266.17,-7.57184,1,5,00:00.0,00:00.0,0,1,0,0
0,379.983,310.14,-5.32685,418.864,315.915,-30.5985,345.211,322.432,-3.48478,377.49,272.184,-0.965243,1,5,00:00.0,00:00.0,0,1,0,0
0,385.748,310.494,-6.67981,423.183,316.927,-30.8055,349.393,321.158,-1.73601,382.694,272.636,-2.16102,1,5,00:00.0,00:00.0,0,1,0,0
0,409.674,263.813,-9.53253,447.096,269.075,-32.5063,368.377,269.041,0.48435,407.947,218.661,-3.67564,1,5,00:00.0,00:00.0,0,1,0,0
0,412.268,260.307,-9.912,449.099,265.753,-31.3175,369.842,266.404,1.14807,409.572,217.24,-3.64314,1,5,00:00.0,00:00.0,0,1,0,0
0,407.486,260.427,-9.07769,444.635,265.996,-30.5211,366.288,267.703,0.676846,404.475,217.758,-3.5283,1,5,00:00.0,00:00.0,0,1,0,0
0,390.338,307.823,-8.7886,427.625,312.207,-28.8351,353.731,316.187,-0.895314,387.258,267.215,-1.38777,1,5,00:00.0,00:00.0,0,1,0,0
0,389.03,308.701,-8.75944,426.658,313.719,-30.6158,352.44,317.112,-1.30905,386.505,268.96,-1.56058,1,5,00:00.0,00:00.0,0,1,0,0
0,391.595,299.166,-8.03706,425.758,303.634,-22.8526,350.981,295.073,0.356098,389.709,262.11,-3.2398,1,5,00:00.0,00:00.0,0,1,0,0
0,366.553,282.786,-3.13853,403.545,291.401,-29.5891,334.679,291.353,-5.84985,368.128,249.615,0.333155,1,5,00:00.0,00:00.0,0,1,0,0
0,358.652,270.56,2.1313,395.717,286.954,-31.6138,328.644,287.227,-9.86271,361.141,244.38,0.749299,1,5,00:00.0,00:00.0,0,1,0,0
0,374.824,299.507,-6.29827,409.456,305.739,-31.4763,339.254,309.015,-1.93159,372.638,263.853,-2.21095,1,5,00:00.0,00:00.0,0,1,0,0
0,374.479,295.516,-6.06781,409.94,301.003,-31.1892,340.25,305.871,-2.04244,371.233,261.407,-2.18542,1,5,00:00.0,00:00.0,0,1,0,0
0,376.248,297.77,-7.82611,410.895,302.588,-31.0081,342.983,307.499,-1.83167,373.236,263.452,-1.76336,1,5,00:00.0,00:00.0,0,1,0,0
